"";"Astronomia";"Bitwa pod Grunwaldem";"Bitwa Warszawska";"Chrzest Polski";"Film dokumentalny";"Film fabularny";"Fryderyk Franciszek Chopin";"Horror na ekranie – co to za gatunek";"Ile jest planet i dlaczego";"Informatyka a coraz nowsze pojêcia informatyczne";"Informatyka bez z³udzeñ";"Johann Sebastian Bach";"Ksiezyc";"Ludwig van Beethoven";"Myœlenie komputacyjne";"Piêæ dekad - historia grafiki komputerowej";"Potop szwedzki";"Rodzaje i gatunki filmowe";"Slonce";"Wolfgang Amadeus Mozart"
"absolutny";0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0
"absolwent";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"absorbowaæ";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"absorpcyjny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
"abstrakcyjny";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"abyœ";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"accademia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"ach";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"achilles";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ackoff";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"activity";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"actus";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"acz";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"aczkolwiek";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"adam";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adama";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"adamsa";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"adaptacja";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adaptowaæ";0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"adekwatny";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
